person_id,person_name,phase,n_phase,mean,std,skewness,kurtosis
2009LIUE01,Evan Liu,early,175,12.830057142857145,3.7948211075220972,4.761485011935366,32.823985046972545
2009LIUE01,Evan Liu,late,175,9.010342857142856,0.7658185442341674,-0.00474079070027219,0.6117094186113619
2009PROV01,Matteo Provasi,early,187,15.043422459893048,3.4713257125035883,4.051346778751369,21.906316315525903
2009PROV01,Matteo Provasi,late,187,11.298021390374332,0.7514028740362153,0.6515165347255008,1.1418534386577979
2010HULL01,Katie Hull,early,171,10.562573099415205,1.808479484565869,4.5733250481716965,26.37018708162712
2010HULL01,Katie Hull,late,171,8.913508771929825,0.587151121627544,1.341000837844945,4.673672842572702
2010ROSE03,Dennis Rosero,early,189,16.40661375661376,2.0745558776239834,1.7087988532000322,3.650289105037189
2010ROSE03,Dennis Rosero,late,189,14.335555555555556,0.8197991018389118,0.5681787478653596,1.1478387834624937
2011EDUA01,Eduard Esteban García Domínguez,early,215,15.223720930232558,8.41734802489617,13.084237749655296,183.37747928880663
2011EDUA01,Eduard Esteban García Domínguez,late,215,12.883441860465114,0.9691326043331578,0.7534657529918937,1.0995154960957216
2012MAHV01,Paul Mahvi,early,175,10.701714285714285,3.7439551937237225,4.154653487603879,23.72639824734263
2012MAHV01,Paul Mahvi,late,175,8.097314285714285,0.5876665218358958,0.551173547386867,0.6716529465723715
2013ROGA02,Przemysław Rogalski,early,156,14.441794871794873,1.9153305070403224,1.4426939616938008,2.2494289102819898
2013ROGA02,Przemysław Rogalski,late,156,11.434294871794872,0.744071720597475,0.5368431436019472,0.6734430393548507
2013WALL03,Daniel Wallin,early,177,10.369887005649716,1.980837170554572,1.5061243730638563,2.646489553960964
2013WALL03,Daniel Wallin,late,177,8.050508474576272,0.6780430322781551,0.7215875267294453,0.592274957189296
2014ZAKR01,Karol Zakrzewski,early,162,10.504074074074072,1.542822917085808,2.3289301873021566,8.071640231457698
2014ZAKR01,Karol Zakrzewski,late,162,8.851913580246912,0.576512899179213,0.026033048912689555,-0.33748209060656054
2017GARR05,Luke Garrett,early,197,8.44233502538071,1.454707919853085,1.322368581087833,1.8810872855610654
2017GARR05,Luke Garrett,late,197,6.02482233502538,0.5050990950547547,0.4912022086095411,0.0710967919436194
