person_id,person_name,model,analysis_model,n_obs,hurst,intercept,dfa_r2,noise_type
2008VIRO01,Philippe Virouleau,power_law,power_law,306,1.1138859727614803,-1.6268202773059939,0.9830537598439921,persistent
2008AURO01,Sébastien Auroux,power_law,power_law,398,0.9638565623452945,-1.2315204742342394,0.9854759451213516,persistent
2010SCHM01,Leon Schmidtchen,power_law,power_law,376,0.9480683045923827,-1.5808802187381086,0.9744732281649185,persistent
2010RONK01,Niko Ronkainen,power_law,power_law,463,0.877520191126478,-1.132230917086346,0.9800826064697341,persistent
2016ROLZ01,Alwin Rölz,power_law,power_law,356,0.859798444667435,-1.2154327421552118,0.983482451666107,persistent
2013WALL03,Daniel Wallin,power_law,power_law,395,0.819886966834321,-1.3863243911490866,0.9888750326081285,persistent
2012MAHV01,Paul Mahvi,power_law,power_law,332,0.818284097316442,-1.4641436911623278,0.9888428610795665,persistent
2003BRUC01,Ron van Bruchem,power_law,power_law,318,0.7979721191021499,-0.5259066393208773,0.9723935865947588,persistent
2010BENT01,Jan Bentlage,power_law,power_law,366,0.7834746360992243,-0.8785566582256914,0.9883842622291165,persistent
2014SEBA01,Juliette Sébastien,exponential,exponential,385,0.781722043496033,-1.4035268271309542,0.9671785280999615,persistent
2010WEYE01,Philipp Weyer,exponential,exponential,343,0.76515249044874,-1.0633063311401636,0.9712645452332713,persistent
2010WEYE02,Sebastian Weyer,power_law,power_law,431,0.754915799789977,-1.1920812593466183,0.9724653528502955,persistent
2014ZAKR01,Karol Zakrzewski,exponential,exponential,391,0.7438426085487021,-1.4378555673688114,0.9702269926289626,persistent
2012CANT02,Simone Cantarelli,power_law,power_law,358,0.7419752150398037,-1.1716657389951595,0.9915979745325486,persistent
2009PROV01,Matteo Provasi,power_law,power_law,322,0.7282903441515035,-0.6717917333730024,0.9742092504149543,persistent
2013BURL01,Łukasz Burliga,power_law,power_law,340,0.723419386730786,-1.23526859658653,0.9789245494499765,persistent
2014PETE03,Tobias Peter,power_law,power_law,385,0.716232229878633,-0.8937715157690919,0.9977550446153615,persistent
2016KOLA02,Tymon Kolasiński,power_law,power_law,302,0.676691964407901,-0.7595860794724927,0.9863569163770675,persistent
2010ROSE03,Dennis Rosero,power_law,power_law,352,0.6615507874307057,-0.4604360702214362,0.9927042714184845,persistent
2008BARA01,Bence Barát,power_law,power_law,422,0.6417372556213021,-1.017656585670223,0.9920222307745361,persistent
2013ROGA02,Przemysław Rogalski,power_law,power_law,335,0.6260346650462143,-0.7576494084116248,0.9836308227965018,persistent
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,431,0.609955924515545,-0.5821744184057859,0.9892706702231748,persistent
2012ICKL01,Finn Ickler,power_law,power_law,410,0.6098718423319683,-0.9980966293797061,0.9818732530984134,persistent
2006HALC01,Michał Halczuk,power_law,power_law,308,0.5680375593936197,-0.7593669459885547,0.9666538914229273,persistent
2009LIUE01,Evan Liu,power_law,power_law,324,0.49161991315031267,-0.47633771917356527,0.9716618054707088,uncorrelated
