person_id,person_name,model,analysis_model,n_obs,hurst,intercept,dfa_r2,noise_type
2012PARK03,Max Park,power_law,power_law,617,0.9045031235284173,-3.092542323853064,0.9782948406812134,persistent
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,860,0.7481375065939225,-1.812402259998425,0.9532423606372531,persistent
2014ZAKR01,Karol Zakrzewski,power_law,power_law,648,0.6778072276078191,-2.215673394582081,0.9888741076523061,persistent
2010ROSE03,Dennis Rosero,power_law,power_law,759,0.6557149944064473,-1.7805466998613064,0.9913066429172038,persistent
2013WALL03,Daniel Wallin,power_law,power_law,711,0.6520722034332397,-2.098261482880248,0.9784574522564492,persistent
2013ROGA02,Przemysław Rogalski,power_law,power_law,626,0.6505271109914957,-1.9934150647724342,0.9873648881789483,persistent
2012MAHV01,Paul Mahvi,power_law,power_law,701,0.6501361573145915,-2.091802355962036,0.9852448371756837,persistent
2009PROV01,Matteo Provasi,power_law,power_law,750,0.6388668021408452,-1.9046359635414707,0.9884724126531046,persistent
2010HULL01,Katie Hull,power_law,power_law,684,0.5969979263493834,-2.003560904135663,0.9934398105725135,persistent
2009LIUE01,Evan Liu,power_law,power_law,700,0.5656296765392178,-1.6364983764538994,0.9843895355203549,persistent
