event,players,power_wins,exp_wins,mean_power_r2,mean_exp_r2,mean_hurst,persistent_share,mean_std_ratio,experiment_name,power_win_pct
333,10,10,0,0.7797257270018159,0.7047462133756047,0.642943280886139,1.0,0.28618737971018093,333_10players,1.0
333,25,21,4,0.7859067972011409,0.7207957952675749,0.6748602139724187,1.0,0.27861233073153663,333_25players,0.84
333,50,42,8,0.7344184786343214,0.6772777106416722,0.6760558547429778,0.96,0.3196899345147947,333_50players,0.84
222,25,16,9,0.45212056981470994,0.4233423731334058,0.6046553867188055,0.8,0.5350690667573322,222_25players,0.64
444,25,22,3,0.8498069273874659,0.7961763176286984,0.7529518929930782,0.96,0.22647277037386224,444_25players,0.88
555,25,17,8,0.8731395327761209,0.8553662808998611,0.8412142517250261,1.0,0.21511181473837587,555_25players,0.68
pyram,25,16,9,0.5788656133855392,0.5623149317243824,0.5974411271258766,0.76,0.431446638477632,pyram_25players,0.64
skewb,25,16,9,0.4842775584899919,0.47475255722756593,0.6065915037437799,0.68,0.4671102906797809,skewb_25players,0.64
