person_id,person_name,phase,n_phase,mean,std,skewness,kurtosis
2008BARA01,Bence Barát,early,57,8.23561403508772,1.8588965789489393,1.0371276615896092,0.4955211569240028
2008BARA01,Bence Barát,late,57,7.3180701754385975,0.8812033951131245,0.001863469624275614,1.0559150946211036
2009LIUE01,Evan Liu,early,66,6.611212121212122,1.589457106301989,0.567903392630188,-0.40834681621036006
2009LIUE01,Evan Liu,late,66,4.97439393939394,0.8858618207718207,0.5154590092339689,0.3440401533551549
2010BENT01,Jan Bentlage,early,63,6.741587301587302,1.458999001026882,1.0506296439588874,0.8820942201148911
2010BENT01,Jan Bentlage,late,63,5.955873015873016,1.0050447509225084,0.8216769301852244,0.41084089693301173
2010GARC02,Carlos Méndez García-Barroso,early,58,6.48896551724138,3.4661651238013382,1.1935738916208463,0.5629262995294679
2010GARC02,Carlos Méndez García-Barroso,late,58,3.0231034482758616,0.5274939324388771,0.620163518665195,-0.15580485001531752
2010RONK01,Niko Ronkainen,early,109,5.159908256880732,0.8463521894237078,1.6597885764314535,4.421253936795024
2010RONK01,Niko Ronkainen,late,109,4.65394495412844,0.5672154505232262,0.16124209936018102,-0.17685806276523897
2010ROSE03,Dennis Rosero,early,79,10.672025316455695,1.8634365686829018,1.5060961108487574,4.332178255949943
2010ROSE03,Dennis Rosero,late,79,8.454683544303798,0.9324311144461435,0.5931934532288352,0.9546322992147069
2011EDUA01,Eduard Esteban García Domínguez,early,84,10.871785714285712,2.7695818312144995,1.2866775134914747,1.376485674577193
2011EDUA01,Eduard Esteban García Domínguez,late,84,8.220238095238095,1.5584584414452607,0.37400602334672284,-0.00010405709457161905
2011WELC01,Walker Welch,early,59,6.457966101694914,1.1372498279819108,0.607634798439646,0.5316685199345699
2011WELC01,Walker Welch,late,59,5.781186440677966,0.9006799821011914,1.2255914106094505,2.246228117959879
2013BURL01,Łukasz Burliga,early,95,3.907684210526316,2.3427000482856104,5.641202679555672,39.9165005698933
2013BURL01,Łukasz Burliga,late,95,3.0454736842105254,0.3978285967413835,0.4105440063421599,-0.024133490525043655
2013EGDA01,Daniel Vædele Egdal,early,73,3.7383561643835614,0.790270723125644,1.966555799046681,4.866192490045872
2013EGDA01,Daniel Vædele Egdal,late,73,2.8346575342465754,0.4435590972519296,0.5969698298611834,0.1604755637470734
2013EGDA02,Martin Vædele Egdal,early,72,4.343472222222222,1.2723884158965248,2.0937651789250977,6.522674971553024
2013EGDA02,Martin Vædele Egdal,late,72,3.4947222222222223,0.43687743542522833,0.5457584653185772,0.8061736157269386
2013JOHN10,Brian Johnson,early,59,4.190847457627118,1.2739610887464252,1.2997349309529713,0.7355689950670303
2013JOHN10,Brian Johnson,late,59,3.362033898305085,0.4802649400322663,1.0514594522651823,2.118988589005402
2013ROGA02,Przemysław Rogalski,early,86,7.710232558139534,1.9029296155536142,3.918304910054437,23.38930141225504
2013ROGA02,Przemysław Rogalski,late,86,6.112441860465117,0.7654540152884455,0.28126199906014177,0.5346063518390487
2013TOKA01,Piotr Tokarski,early,57,6.468245614035089,1.1874208587267399,1.1160203530978596,2.5417071468235966
2013TOKA01,Piotr Tokarski,late,57,6.497894736842105,1.186796012141973,0.8880984332799143,1.0962627260790567
2013WALL03,Daniel Wallin,early,107,4.657663551401869,1.401930999458915,4.239174298283982,23.351671175169276
2013WALL03,Daniel Wallin,late,107,4.37981308411215,0.6430000165914654,0.6899141319715136,-0.06200778031139942
2014LAFO01,Anthony Lafourcade,early,66,4.205909090909091,1.091264583686464,1.7996887052218453,3.9731079640790083
2014LAFO01,Anthony Lafourcade,late,66,2.7025757575757576,0.33984752511433763,0.21723148445940899,0.16088621860235897
2014PETE03,Tobias Peter,early,66,6.7234848484848495,1.6229076398425166,2.6738366205117683,10.102926309768836
2014PETE03,Tobias Peter,late,66,6.539696969696969,1.0129879180644368,0.7904671354359885,0.2953533534432218
2014ZAKR01,Karol Zakrzewski,early,61,6.776065573770492,2.2487746876084347,3.961849593341577,21.523544075397417
2014ZAKR01,Karol Zakrzewski,late,61,5.352950819672131,0.7334310789303816,0.18394571363190257,-0.12670917034231044
2015ANTO04,Manuel Prieto de Antón,early,63,4.4806349206349205,1.6014931269084718,3.1937250212156116,13.411369310646323
2015ANTO04,Manuel Prieto de Antón,late,63,3.1963492063492067,0.6075447722444972,1.4329830632603004,3.5485653847044993
2015KUCA01,Carter Kucala,early,84,3.9502380952380958,1.5786016201555648,2.746270830809749,9.552973807209483
2015KUCA01,Carter Kucala,late,84,2.494761904761905,0.5333763250027476,0.8797616987105192,0.7013779068919157
2015SANC18,Josete Sánchez,early,63,7.693650793650795,2.4000331325584634,1.6791135835189703,2.465992208774127
2015SANC18,Josete Sánchez,late,63,5.05904761904762,0.7261158582701086,1.6890891792487677,5.36025046574971
2016KELL12,Simon Kellum,early,69,3.8685507246376813,1.158743329649332,1.7887026030142994,3.4126907607272337
2016KELL12,Simon Kellum,late,69,2.930434782608696,0.5579886009340858,0.5177478823631612,0.09686781126939437
2016LAZA03,Fernando Sáez Lázaro,early,71,5.357464788732393,2.7792299644273815,4.101063379519534,18.068977041003087
2016LAZA03,Fernando Sáez Lázaro,late,71,3.837887323943662,0.5644945033085739,0.4214380796154405,0.011000251271499728
2016ROLZ01,Alwin Rölz,early,66,7.261515151515152,2.4004924125778486,3.4513437095912325,15.881252990448655
2016ROLZ01,Alwin Rölz,late,66,4.424242424242424,1.0265177290327956,0.9969862004074608,0.9152330924810608
2017GARR05,Luke Garrett,early,74,5.290810810810811,0.8408080861229538,0.42797483600064506,0.4541959465047798
2017GARR05,Luke Garrett,late,74,3.668108108108108,0.4829977046250676,0.9159706696582272,1.9313855688966712
