person_id,person_name,delta_aic,delta_bic,winner,winner_bic,delta_aic_abs
2010GARC02,Carlos Méndez García-Barroso,-118.96177800762356,-118.96177800762356,exponential,exponential,118.96177800762356
2013BURL01,Łukasz Burliga,111.97656951187037,111.97656951187037,power_law,power_law,111.97656951187037
2016ROLZ01,Alwin Rölz,88.3875869427505,88.38758694275049,power_law,power_law,88.3875869427505
2015KUCA01,Carter Kucala,67.73825382630736,67.73825382630736,power_law,power_law,67.73825382630736
2015ANTO04,Manuel Prieto de Antón,52.27957093247099,52.27957093247099,power_law,power_law,52.27957093247099
2013EGDA01,Daniel Vædele Egdal,50.71212893571891,50.712128935718965,power_law,power_law,50.71212893571891
2013JOHN10,Brian Johnson,-45.77808216228587,-45.7780821622859,exponential,exponential,45.77808216228587
2014LAFO01,Anthony Lafourcade,37.489649029903035,37.489649029903035,power_law,power_law,37.489649029903035
2015SANC18,Josete Sánchez,32.16423721607559,32.16423721607559,power_law,power_law,32.16423721607559
2008BARA01,Bence Barát,-25.151279556364152,-25.151279556364152,exponential,exponential,25.151279556364152
2016LAZA03,Fernando Sáez Lázaro,-22.767400926460027,-22.767400926460027,exponential,exponential,22.767400926460027
2013EGDA02,Martin Vædele Egdal,22.364879007271043,22.364879007271043,power_law,power_law,22.364879007271043
2017GARR05,Luke Garrett,-20.10972295055535,-20.10972295055535,exponential,exponential,20.10972295055535
2009LIUE01,Evan Liu,19.139863172743617,19.139863172743617,power_law,power_law,19.139863172743617
2014PETE03,Tobias Peter,-18.650564226111857,-18.65056422611186,exponential,exponential,18.650564226111857
2014ZAKR01,Karol Zakrzewski,15.8301625516822,15.830162551682196,power_law,power_law,15.8301625516822
2013WALL03,Daniel Wallin,-12.100376943375863,-12.100376943375863,exponential,exponential,12.100376943375863
2016KELL12,Simon Kellum,-9.272040802662048,-9.272040802662048,exponential,exponential,9.272040802662048
2010BENT01,Jan Bentlage,-7.107032783218449,-7.107032783218449,exponential,exponential,7.107032783218449
2010RONK01,Niko Ronkainen,4.853519620950465,4.853519620950465,power_law,power_law,4.853519620950465
2013ROGA02,Przemysław Rogalski,1.2986625863514831,1.2986625863514831,power_law,power_law,1.2986625863514831
2013TOKA01,Piotr Tokarski,1.138356623331859,1.138356623331859,power_law,power_law,1.138356623331859
2011WELC01,Walker Welch,0.793545089328461,0.793545089328461,power_law,power_law,0.793545089328461
2010ROSE03,Dennis Rosero,0.5406027768616752,0.5406027768616894,power_law,power_law,0.5406027768616752
2011EDUA01,Eduard Esteban García Domínguez,0.28733648230519293,0.28733648230519293,power_law,power_law,0.28733648230519293
