person_id,person_name,winner,winner_bic,power_rss,power_r2,power_aic,power_bic,exp_rss,exp_r2,exp_aic,exp_bic,delta_aic,delta_aic_abs,delta_bic
2013EGDA01,Daniel Vædele Egdal,power_law,power_law,42.796682328429746,0.5968804328081099,-554.7256197657689,-543.6953583589641,50.913710986299634,0.5204227986781156,-504.01349083005,-492.9832294232451,50.71212893571891,50.71212893571891,50.712128935718965
2014LAFO01,Anthony Lafourcade,power_law,power_law,36.44036930964558,0.8117782552589055,-519.7739440120788,-509.0347545341201,41.97808014644876,0.7831748789671382,-482.28429498217577,-471.5451055042171,37.489649029903035,37.489649029903035,37.489649029903035
2013BURL01,Łukasz Burliga,power_law,power_law,117.00564449189571,0.8111151097736724,-441.6206487150345,-429.80013495687325,157.10232742529723,0.7463861166793265,-329.64407920316415,-317.8235654450029,111.97656951187037,111.97656951187037,111.97656951187037
2013EGDA02,Martin Vædele Egdal,power_law,power_law,81.37736786488912,0.5866084272309584,-364.79978604409797,-353.7798162425835,87.87826044101334,0.5535843287997031,-342.4349070368269,-331.41493723531244,22.364879007271043,22.364879007271043,22.364879007271043
2013WALL03,Daniel Wallin,exponential,exponential,187.69907344857495,0.46687028369075134,-350.4464366232839,-338.25508099722106,182.49076987969897,0.4816636513569378,-362.54681356665975,-350.3554579405969,-12.100376943375863,12.100376943375863,-12.100376943375863
2015KUCA01,Carter Kucala,power_law,power_law,121.83112135930341,0.7028925677196118,-340.92048846602506,-329.44248814388374,148.77776649433366,0.6371782538783375,-273.1822346397177,-261.7042343175764,67.73825382630736,67.73825382630736,67.73825382630736
2010RONK01,Niko Ronkainen,power_law,power_law,217.64159292665738,0.16832257985768584,-296.92957476346976,-284.69664803342266,220.07789820209325,0.1590126861976242,-292.0760551425193,-279.8431284124722,4.853519620950465,4.853519620950465,4.853519620950465
2016KELL12,Simon Kellum,exponential,exponential,94.64324106527357,0.5320167896651675,-293.546848242707,-282.66398490163505,91.53869696962391,0.5473678543175938,-302.818889045369,-291.9360257042971,-9.272040802662048,9.272040802662048,-9.272040802662048
2015ANTO04,Manuel Prieto de Antón,power_law,power_law,107.50490609351684,0.6378088644045746,-212.38863673289643,-201.77663393184082,132.07389374000616,0.5550343208095956,-160.10906580042544,-149.49706299936983,52.27957093247099,52.27957093247099,52.27957093247099
2013JOHN10,Brian Johnson,exponential,exponential,103.53084809928605,0.43225284611617976,-193.94595031335027,-183.51655965755572,85.48402572289635,0.5312188280331458,-239.72403247563614,-229.29464181984162,-45.77808216228587,45.77808216228587,-45.7780821622859
