person_id,person_name,model,a,b,c
2008BARA01,Bence Barát,exponential,5.489009580216196,0.0823589755388817,7.29289810382203
2008BARA01,Bence Barát,power_law,7.003432432282877,0.4239904135139459,6.394789247970566
2009LIUE01,Evan Liu,exponential,3.888519644756647,0.04969603790939875,5.477178245081041
2009LIUE01,Evan Liu,power_law,7.621860858562557,0.21999151766112435,2.9196325394951064
2010BENT01,Jan Bentlage,exponential,4.8529014695404005,0.11164203800949676,6.080523251884593
2010BENT01,Jan Bentlage,power_law,5.583129796245437,0.45086749243638524,5.432216652661613
2010GARC02,Carlos Méndez García-Barroso,exponential,12.52758047070741,0.057918835599798685,3.06543888728057
2010GARC02,Carlos Méndez García-Barroso,power_law,19.223377203353,0.3696340331147617,1.2296381715743872e-14
2010RONK01,Niko Ronkainen,exponential,5.098165899997823,0.2389117072326624,4.9407306360494845
2010RONK01,Niko Ronkainen,power_law,4.399216765423743,0.6616944458696828,4.775129300617641
2010ROSE03,Dennis Rosero,exponential,4.250592503598918,0.018783099188164856,8.370888216660965
2010ROSE03,Dennis Rosero,power_law,13.639113598693571,0.11933482277953156,1.3028145317992026
2011EDUA01,Eduard Esteban García Domínguez,exponential,7.913887463263001,0.03343033196632875,8.258964570020968
2011EDUA01,Eduard Esteban García Domínguez,power_law,15.482234569955416,0.2585094408710971,4.3462853157882915
2011WELC01,Walker Welch,exponential,2.239121700775043,0.045919405833781804,5.685211600383591
2011WELC01,Walker Welch,power_law,4.049759190273011,0.36290881692663074,5.028656870793349
2013BURL01,Łukasz Burliga,exponential,22.952054965797235,0.37647807483380796,3.164269633069752
2013BURL01,Łukasz Burliga,power_law,18.41476430920834,1.0417984977723196,3.0133195771291903
2013EGDA01,Daniel Vædele Egdal,exponential,3.105846417017129,0.07348184672560994,3.0938940192917044
2013EGDA01,Daniel Vædele Egdal,power_law,4.686563740777524,0.3835624163875505,2.388339253077965
2013EGDA02,Martin Vædele Egdal,exponential,6.452299516954622,0.15562453917376862,3.6346110785843857
2013EGDA02,Martin Vædele Egdal,power_law,7.315235299254177,0.6455751386230548,3.293290315422741
2013JOHN10,Brian Johnson,exponential,4.277508501037136,0.07789531382670369,3.3301984830522016
2013JOHN10,Brian Johnson,power_law,5.468621264240737,0.3771501718430333,2.4613230583223205
2013ROGA02,Przemysław Rogalski,exponential,3.437032918250948,0.021125118409721994,6.183818909525136
2013ROGA02,Przemysław Rogalski,power_law,11.09147370786805,0.10818751001692856,0.05268053073249505
2013TOKA01,Piotr Tokarski,exponential,9.758908901322549,0.7053819167573828,5.943444070168096
2013TOKA01,Piotr Tokarski,power_law,4.893542768470941,1.1927800378895477,5.900735229724607
2013WALL03,Daniel Wallin,exponential,13.691206348891344,0.36888859321139683,4.368862631432417
2013WALL03,Daniel Wallin,power_law,10.46403842859247,1.03183136262779,4.2919117782648195
2014LAFO01,Anthony Lafourcade,exponential,3.8671276820471028,0.038046948525476694,2.811035963759402
2014LAFO01,Anthony Lafourcade,power_law,7.579957866682989,0.2787966932131416,0.9907441113923191
2014PETE03,Tobias Peter,exponential,8.054471059507648,0.2203342561906958,6.169939000942486
2014PETE03,Tobias Peter,power_law,7.093140865298326,0.7437846066169366,5.946607886258474
2014ZAKR01,Karol Zakrzewski,exponential,23.868685504474495,0.5716360465648166,5.963723079874531
2014ZAKR01,Karol Zakrzewski,power_law,13.988221165021708,1.0583682769828733,5.78756772119521
2015ANTO04,Manuel Prieto de Antón,exponential,9.148888039907666,0.19867297105147505,3.5432798644381065
2015ANTO04,Manuel Prieto de Antón,power_law,9.730782643301369,0.6877818099291522,3.1168840112630907
2015KUCA01,Carter Kucala,exponential,8.29962738849851,0.1114390770313081,2.728100121100438
2015KUCA01,Carter Kucala,power_law,10.511023546143203,0.5286033882291433,1.9588954592256271
2015SANC18,Josete Sánchez,exponential,10.498152319752851,0.10077899249660797,5.559845373026878
2015SANC18,Josete Sánchez,power_law,13.472152876543353,0.3873935102545691,3.4286050313491896
2016KELL12,Simon Kellum,exponential,4.545118506564872,0.07826900936750471,2.9855843269512783
2016KELL12,Simon Kellum,power_law,6.341407992112176,0.45110178559732894,2.302445828446235
2016LAZA03,Fernando Sáez Lázaro,exponential,22.80278574993483,0.3222842460903824,4.090649437758245
2016LAZA03,Fernando Sáez Lázaro,power_law,17.65019305291024,0.8222468474714602,3.6644549617785063
2016ROLZ01,Alwin Rölz,exponential,5.4211186618469185,0.016694587724996716,4.293231095618524
2016ROLZ01,Alwin Rölz,power_law,15.307722410077016,0.4124552511505503,2.9490754218407984
2017GARR05,Luke Garrett,exponential,5.6340273201183235,0.0015321291467069091,3.5751558167380036e-14
2017GARR05,Luke Garrett,power_law,7.654900537292282,0.11314762266328067,8.070406558178813e-10
