person_id,person_name,delta_aic,delta_bic,winner,winner_bic,delta_aic_abs
2013BURL01,Łukasz Burliga,652.693953623441,652.693953623441,power_law,power_law,652.693953623441
2009PROV01,Matteo Provasi,638.2681531688618,638.2681531688618,power_law,power_law,638.2681531688618
2009LIUE01,Evan Liu,613.8028590912393,613.8028590912393,power_law,power_law,613.8028590912393
2007VALK01,Mats Valk,522.0413541935059,522.0413541935059,power_law,power_law,522.0413541935059
2012MAHV01,Paul Mahvi,402.6716712506433,402.6716712506433,power_law,power_law,402.6716712506433
2014PETE03,Tobias Peter,311.876775728357,311.8767757283571,power_law,power_law,311.876775728357
2016KELL12,Simon Kellum,290.4392619041251,290.4392619041251,power_law,power_law,290.4392619041251
2014SEBA01,Juliette Sébastien,289.2876559089683,289.2876559089683,power_law,power_law,289.2876559089683
2010HULL01,Katie Hull,284.04450843181473,284.0445084318147,power_law,power_law,284.04450843181473
2010WEYE02,Sebastian Weyer,263.86870044061664,263.86870044061664,power_law,power_law,263.86870044061664
2016ROLZ01,Alwin Rölz,241.59132923241083,241.5913292324108,power_law,power_law,241.59132923241083
2012ICKL01,Finn Ickler,209.23251954761355,209.23251954761355,power_law,power_law,209.23251954761355
2012CANT02,Simone Cantarelli,199.6723698391778,199.67236983917783,power_law,power_law,199.6723698391778
2018KHAN28,Zayn Khanani,-192.17969931220196,-192.179699312202,exponential,exponential,192.17969931220196
2010SCHM01,Leon Schmidtchen,191.20236687882232,191.20236687882235,power_law,power_law,191.20236687882232
2010RONK01,Niko Ronkainen,189.7428588983977,189.7428588983977,power_law,power_law,189.7428588983977
2011WELC01,Walker Welch,182.65596238354533,182.65596238354533,power_law,power_law,182.65596238354533
2005REYN01,Tim Reynolds,173.03927597342798,173.039275973428,power_law,power_law,173.03927597342798
2014CHIC01,Chris Chi,161.74390593092178,161.74390593092178,power_law,power_law,161.74390593092178
2011EDUA01,Eduard Esteban García Domínguez,158.68579713668817,158.68579713668817,power_law,power_law,158.68579713668817
2013TOKA01,Piotr Tokarski,157.44671768730922,157.44671768730922,power_law,power_law,157.44671768730922
2013JOHN10,Brian Johnson,145.11830547661714,145.11830547661714,power_law,power_law,145.11830547661714
2012PARK03,Max Park,135.4372607562068,135.4372607562068,power_law,power_law,135.4372607562068
2010AMBR01,Jacob Ambrose,128.39156073288606,128.39156073288606,power_law,power_law,128.39156073288606
2011GROG02,Shane Grogan,122.51974890365452,122.51974890365454,power_law,power_law,122.51974890365452
2015SANC11,Nicolás Sánchez,-112.18345129292118,-112.18345129292118,exponential,exponential,112.18345129292118
2014ZAKR01,Karol Zakrzewski,111.6681583413233,111.6681583413233,power_law,power_law,111.6681583413233
2016KOLA02,Tymon Kolasiński,-85.65081667740407,-85.65081667740407,exponential,exponential,85.65081667740407
2010THOM03,Blake Thompson,83.94249105354004,83.94249105354005,power_law,power_law,83.94249105354004
2009ZEMD01,Feliks Zemdegs,82.36358988984477,82.36358988984477,power_law,power_law,82.36358988984477
2010ROSE03,Dennis Rosero,75.41101512341248,75.41101512341248,power_law,power_law,75.41101512341248
2010WEYE01,Philipp Weyer,70.55771620826897,70.55771620826903,power_law,power_law,70.55771620826897
2011SZAT01,Wojciech Szatanowski,66.66345873855981,66.66345873855981,power_law,power_law,66.66345873855981
2016MULL04,Daniel Mullen,62.767328235450705,62.767328235450705,power_law,power_law,62.767328235450705
2010GRAC02,Fabio Bini Graciose,62.07232125742462,62.07232125742462,power_law,power_law,62.07232125742462
2017POPA01,Manuel Popayán,-61.48726122283506,-61.48726122283509,exponential,exponential,61.48726122283506
2009HILD01,James Hildreth,50.697368201517925,50.69736820151793,power_law,power_law,50.697368201517925
2014GOSL01,Raymond Goslow,50.08199006320487,50.0819900632049,power_law,power_law,50.08199006320487
2013ROGA02,Przemysław Rogalski,50.05683681869942,50.05683681869942,power_law,power_law,50.05683681869942
2013WALL03,Daniel Wallin,37.138432081519966,37.138432081519966,power_law,power_law,37.138432081519966
2014JIME05,Diego Alejandro Casas Jimenez,27.820497412726272,27.820497412726272,power_law,power_law,27.820497412726272
2010BENT01,Jan Bentlage,26.75784332488817,26.757843324888164,power_law,power_law,26.75784332488817
2008AURO01,Sébastien Auroux,26.191513418885336,26.191513418885336,power_law,power_law,26.191513418885336
2016PYWI01,Wilfrid Py,24.851539718085768,24.851539718085768,power_law,power_law,24.851539718085768
2003DENN01,Ton Dennenbroek,-21.61810286956927,-21.61810286956927,exponential,exponential,21.61810286956927
2008BARA01,Bence Barát,-13.50510777992298,-13.50510777992298,exponential,exponential,13.50510777992298
2007GOUL01,Joey Gouly,8.590194754119352,8.590194754119352,power_law,power_law,8.590194754119352
2015KUCA01,Carter Kucala,-7.548607712856608,-7.548607712856608,exponential,exponential,7.548607712856608
2003BRUC01,Ron van Bruchem,-5.972347819816321,-5.972347819816321,exponential,exponential,5.972347819816321
2017GARR05,Luke Garrett,2.7701065637621696,2.7701065637621696,power_law,power_law,2.7701065637621696
