person_id,person_name,n_obs,phase_n,mean_early,mean_late,std_early,std_late,std_ratio,variability_reduction_pct,skewness_early,skewness_late,kurtosis_early,kurtosis_late
2007VALK01,Mats Valk,476,119,13.15016806722689,7.4652941176470575,6.503385296174377,0.5035346646700967,0.07742654659663198,0.922573453403368,7.1013460475310195,0.47079902702675924,63.574751244774646,0.7836805744981525
2016KOLA02,Tymon Kolasiński,555,138,11.16840579710145,5.293550724637681,3.654929327479706,0.33988577025861,0.0929938009206273,0.9070061990793727,1.6208750608152926,0.5831168243743133,3.1328910498989906,0.23520853941153463
2011EDUA01,Eduard Esteban García Domínguez,860,215,15.223720930232558,12.883441860465114,8.41734802489617,0.9691326043331578,0.11513514725383027,0.8848648527461698,13.084237749655296,0.7534657529918937,183.37747928880663,1.0995154960957216
2013BURL01,Łukasz Burliga,577,144,10.946874999999999,7.728402777777777,4.320315559044302,0.5970096380832206,0.13818658149482146,0.8618134185051786,4.892753215499769,0.670031766206264,30.154563185695867,0.7872018247082324
2012PARK03,Max Park,617,154,8.513246753246753,5.708701298701299,2.6079821872554416,0.40093795471084326,0.15373492835577138,0.8462650716442286,2.0344032768234284,1.6230958609400619,4.5710058983684405,6.129649480152504
2012MAHV01,Paul Mahvi,701,175,10.701714285714285,8.097314285714285,3.7439551937237225,0.5876665218358958,0.1569640904947383,0.8430359095052617,4.154653487603879,0.551173547386867,23.72639824734263,0.6716529465723715
2010WEYE02,Sebastian Weyer,574,143,9.57755244755245,6.929090909090909,2.2727244359284966,0.38194260517670414,0.16805495604251103,0.8319450439574889,2.5323851821475856,0.34857424857577174,8.348667135194342,0.7878797326799702
2016MULL04,Daniel Mullen,519,129,12.893643410852714,8.978759689922482,3.644301617333666,0.6170127224072476,0.1693089066702118,0.8306910933297882,2.2986737962901236,0.45114561430591693,6.011687908282074,1.4397413979709408
2010WEYE01,Philipp Weyer,489,122,9.870409836065573,6.7818852459016385,2.217188077530213,0.3925722167962886,0.17705859993329282,0.8229414000667072,1.562271218302778,0.37149344520455146,2.8793372965881536,0.8891508970546349
2014SEBA01,Juliette Sébastien,590,147,9.99326530612245,6.80265306122449,2.5680529811633686,0.4583372666955356,0.17847656183787206,0.8215234381621279,7.452582905523905,0.7611106523776558,73.7418979847136,0.9389370805632313
2009LIUE01,Evan Liu,700,175,12.830057142857145,9.010342857142856,3.7948211075220972,0.7658185442341674,0.20180623079073776,0.7981937692092622,4.761485011935366,-0.00474079070027219,32.823985046972545,0.6117094186113619
2010BENT01,Jan Bentlage,494,123,16.733658536585363,11.521544715447154,3.4577106204692774,0.7174671209926285,0.20749773469916766,0.7925022653008323,1.588565693132176,0.7336804807611537,2.6507874430088765,0.4812251506815124
