person_id,person_name,winner,winner_bic,power_rss,power_r2,power_aic,power_bic,exp_rss,exp_r2,exp_aic,exp_bic,delta_aic,delta_aic_abs,delta_bic
2013ROGA02,Przemysław Rogalski,power_law,power_law,214.7483024139523,0.6085644461472466,-568.27294075314,-555.189033320421,222.28144836811288,0.5948332961187055,-548.3103475544644,-535.2264401217454,19.962593198675563,19.962593198675563,19.962593198675563
2013WARY01,Rafał Waryszak,power_law,power_law,84.94670095764427,0.5117305606717115,-489.56819977938346,-477.9944003159331,86.7148526752002,0.5015673119752276,-482.3577909827386,-470.78399151928824,7.210408796644856,7.210408796644856,7.210408796644856
2013OLSZ02,Piotr Olszewski,power_law,power_law,140.29801365549852,0.7184863047932991,-388.6877660553256,-376.8047500364558,187.60260292626253,0.6235677141527529,-275.9516181702874,-264.0686021514176,112.73614788503818,112.73614788503818,112.73614788503818
2016KELL12,Simon Kellum,exponential,exponential,107.87763625304534,0.6601495129516541,-369.33925264581086,-357.9148251758695,105.11694529068501,0.6688466090388113,-377.9719753101771,-366.5475478402357,-8.632722664366213,8.632722664366213,-8.632722664366213
2013TOKA01,Piotr Tokarski,exponential,exponential,182.78891562125614,0.43316535660760536,-345.2406423344721,-333.112743833425,179.64682312152775,0.44290909230151276,-352.54044167938986,-340.41254317834273,-7.299799344917744,7.299799344917744,-7.299799344917744
2010DESJ01,Jules Desjardin,power_law,power_law,94.15971524203559,0.7346550979302713,-343.7974656241677,-332.6761348299211,129.1431369668606,0.6360707661087828,-248.7028548773072,-237.58152408306057,95.09461074686052,95.09461074686052,95.09461074686055
2015WINT02,Steven Wintringham,power_law,power_law,128.72570158850425,0.6919975636410997,-314.409656432132,-302.9672648366568,152.41179203715032,0.6353237721917332,-257.8274128579911,-246.38502126251586,56.58224357414093,56.58224357414093,56.58224357414093
2017GARR05,Luke Garrett,exponential,exponential,197.00130472660584,0.746952904927978,-304.949561964085,-292.8575061833012,163.42265113956432,0.7900845012309695,-382.6877128482892,-370.59565706750544,-77.73815088420423,77.73815088420423,-77.73815088420423
2016ROLZ01,Alwin Rölz,exponential,exponential,116.2167137773632,0.479981986439993,-302.1145134416282,-290.88550387819976,110.8747702581401,0.5038848035746936,-316.7957676096799,-305.56675804625144,-14.68125416805168,14.68125416805168,-14.68125416805168
2017PALA08,Harsha Paladugu,exponential,exponential,127.75357419968618,0.7620917412325797,-248.2517696189364,-237.15043889876435,120.7249569729359,0.7751807377356847,-265.1716807129817,-254.07034999280964,-16.91991109404529,16.91991109404529,-16.91991109404529
