person_id,person_name,delta_aic,delta_bic,winner,winner_bic,delta_aic_abs
2008AURO01,Sébastien Auroux,159.39790664556517,159.39790664556517,power_law,power_law,159.39790664556517
2013OLSZ02,Piotr Olszewski,112.73614788503818,112.73614788503818,power_law,power_law,112.73614788503818
2010DESJ01,Jules Desjardin,95.09461074686052,95.09461074686055,power_law,power_law,95.09461074686052
2010RONK01,Niko Ronkainen,89.38763420268805,89.38763420268805,power_law,power_law,89.38763420268805
2017GARR05,Luke Garrett,-77.73815088420423,-77.73815088420423,exponential,exponential,77.73815088420423
2015KUCA01,Carter Kucala,-64.02795614160306,-64.02795614160306,exponential,exponential,64.02795614160306
2010ROSE03,Dennis Rosero,58.288295289710646,58.288295289710646,power_law,power_law,58.288295289710646
2015WINT02,Steven Wintringham,56.58224357414093,56.58224357414093,power_law,power_law,56.58224357414093
2010BENT01,Jan Bentlage,53.47414294267161,53.474142942671605,power_law,power_law,53.47414294267161
2009LIUE01,Evan Liu,-46.26555233227104,-46.265552332271035,exponential,exponential,46.26555233227104
2010GRAC02,Fabio Bini Graciose,-43.35545159823073,-43.35545159823073,exponential,exponential,43.35545159823073
2008BARA01,Bence Barát,31.73393167606288,31.73393167606288,power_law,power_law,31.73393167606288
2008VARG01,Dániel Varga,28.85657542358993,28.856575423589945,power_law,power_law,28.85657542358993
2013WALL03,Daniel Wallin,-26.903061076652094,-26.903061076652094,exponential,exponential,26.903061076652094
2013BURL01,Łukasz Burliga,26.15652969713836,26.15652969713836,power_law,power_law,26.15652969713836
2011EDUA01,Eduard Esteban García Domínguez,25.26509313279675,25.26509313279675,power_law,power_law,25.26509313279675
2013ROGA02,Przemysław Rogalski,19.962593198675563,19.962593198675563,power_law,power_law,19.962593198675563
2017PALA08,Harsha Paladugu,-16.91991109404529,-16.91991109404529,exponential,exponential,16.91991109404529
2016ROLZ01,Alwin Rölz,-14.68125416805168,-14.68125416805168,exponential,exponential,14.68125416805168
2016KELL12,Simon Kellum,-8.632722664366213,-8.632722664366213,exponential,exponential,8.632722664366213
2013TOKA01,Piotr Tokarski,-7.299799344917744,-7.299799344917744,exponential,exponential,7.299799344917744
2013WARY01,Rafał Waryszak,7.210408796644856,7.210408796644856,power_law,power_law,7.210408796644856
2011SZAT01,Wojciech Szatanowski,3.7848139370126965,3.7848139370126948,power_law,power_law,3.7848139370126965
2014JIME05,Diego Alejandro Casas Jimenez,3.317642403044033,3.317642403044033,power_law,power_law,3.317642403044033
2014PETE03,Tobias Peter,0.00035244682538859706,0.00035244682538859706,power_law,power_law,0.00035244682538859706
