person_id,person_name,n_obs,phase_n,mean_early,mean_late,std_early,std_late,std_ratio,variability_reduction_pct,skewness_early,skewness_late,kurtosis_early,kurtosis_late
2008AURO01,Sébastien Auroux,349,87,9.721724137931036,6.967011494252874,6.873692045881884,1.1081800656959502,0.1612204995945192,0.8387795004054808,4.481200887051572,0.9977390613578524,27.890769632983588,1.7639196982336096
2010DESJ01,Jules Desjardin,301,75,4.2518666666666665,2.9161333333333332,1.6334664626752167,0.39752237174281907,0.2433612080971501,0.7566387919028499,3.550485227611027,0.6245633113490706,16.431906446524874,0.23254524880797378
2010BENT01,Jan Bentlage,365,91,9.01,5.453846153846154,2.5701941128595283,0.7269858155895313,0.2828524942735577,0.7171475057264423,1.6055422410373716,1.5186082253646154,2.9844733986781224,5.551272321795414
2017PALA08,Harsha Paladugu,299,74,3.8866216216216216,2.7354054054054053,2.2463201427302586,0.6399897028049816,0.28490582915181223,0.7150941708481877,3.261823626939164,0.8448941585439628,11.609230193911174,0.8034360391507014
2013OLSZ02,Piotr Olszewski,388,97,4.405463917525773,2.8083505154639172,1.605133055633912,0.47366848553860946,0.2950960880632693,0.7049039119367306,2.590676965963696,0.44656184563049567,9.575968413017264,-0.06228847715356034
2010RONK01,Niko Ronkainen,442,110,7.426,5.611363636363637,2.4595711567729364,0.7378638611320093,0.2999969564206951,0.7000030435793049,2.6976965945601306,0.08054939177543063,9.93318051756242,-0.6460517007465305
2016KELL12,Simon Kellum,333,83,3.6863855421686744,2.419759036144579,1.432250130008852,0.4753996416459614,0.33192501203893987,0.6680749879610601,1.8861293430578858,1.2529539063996609,4.7782416941458346,2.414528964386605
2015KUCA01,Carter Kucala,295,73,5.2557534246575335,3.1512328767123288,1.9918255988248423,0.6611709839483435,0.33194220635502825,0.6680577936449718,0.9890534715870672,0.5388940349169317,0.3987735616084569,-0.32196568579825824
2015WINT02,Steven Wintringham,335,83,4.207951807228915,2.857710843373494,1.6441127483711238,0.6156442695163372,0.37445380198303074,0.6255461980169692,2.844970354516086,0.9729913787873242,13.611198475498476,0.5235579811741058
2009LIUE01,Evan Liu,310,77,6.506883116883118,4.900129870129871,2.2483404755626575,0.8805104582697195,0.39162683225251627,0.6083731677474837,1.7152294972069924,2.229141129868498,2.8070766286164393,8.683105610993257
2011EDUA01,Eduard Esteban García Domínguez,469,117,9.134444444444442,7.54008547008547,2.603264013676718,1.0822952109597326,0.4157454661815702,0.5842545338184297,2.27280081495795,0.7486726879163449,7.267676949153315,0.6846654589530541
2017GARR05,Luke Garrett,416,104,5.3257692307692315,2.5087499999999996,1.261939247616592,0.5540735072680436,0.43906512006383425,0.5609348799361658,0.9056923388157485,1.5270071940449368,1.1672116711489577,3.7041373665240442
2013WARY01,Rafał Waryszak,350,87,3.6401149425287356,3.205172413793103,1.0847328405979968,0.492883924419414,0.45438278069252014,0.5456172193074799,3.0082778886273958,0.4294490751004594,12.31961876525394,-0.05777828694281517
2013TOKA01,Piotr Tokarski,421,105,4.3880952380952385,4.110761904761905,1.3179457319559682,0.6120766908303856,0.464417218394873,0.5355827816051271,2.70387967001979,0.38863283134009213,11.123885580266911,0.2541795069523891
2013WALL03,Daniel Wallin,449,112,5.117232142857143,4.4174999999999995,1.9621229584770556,0.9349196622035365,0.4764837280784863,0.5235162719215136,6.0518835438115985,1.8512177015825952,50.162568494513124,6.7381719153401765
2008BARA01,Bence Barát,320,80,8.132125,6.3105,1.4229125894944399,0.7117226383388761,0.5001871819770396,0.4998128180229604,1.5767949749634451,0.23770939045806297,2.748394885477483,-0.18974025411274464
2010ROSE03,Dennis Rosero,511,127,7.2570078740157475,5.9837795275590535,1.6235525005862081,0.812278716273476,0.5003094855141368,0.4996905144858632,2.3300516071790778,1.4271977530677407,7.661396343163764,3.470509626913442
2014JIME05,Diego Alejandro Casas Jimenez,299,74,10.95810810810811,8.495135135135135,2.473054611495712,1.266584494954127,0.5121538720036968,0.4878461279963032,0.8957261297124045,1.009670500041237,0.5269517265183286,2.6988571425244126
2013ROGA02,Przemysław Rogalski,579,144,5.306736111111111,3.869097222222222,1.1855463051959598,0.6141489229597733,0.5180303124965331,0.4819696875034669,1.2001926463213062,1.1575245762479096,1.2491055106337203,3.771336420974725
2008VARG01,Dániel Varga,291,72,7.2562500000000005,6.00625,1.3700061041295082,0.7202375146191627,0.525718471215715,0.474281528784285,2.5361925236832983,0.6202018093645293,8.49210013421025,0.8984616619344523
2011SZAT01,Wojciech Szatanowski,303,75,7.682533333333334,6.8132,1.7002520427892476,0.9199385408378751,0.541060100318259,0.458939899681741,1.914148720032172,0.6581353695174669,5.880526244929959,1.0128251332397418
2010GRAC02,Fabio Bini Graciose,392,98,12.620204081632652,8.423367346938775,1.9375896279059546,1.055699254149327,0.5448518297913638,0.4551481702086362,0.9025097082890197,0.4847896126544936,1.0877526337817671,0.27827734863414655
2013BURL01,Łukasz Burliga,308,77,5.716103896103896,4.923896103896103,1.9737148755877074,1.138173925110047,0.5766658290859444,0.42333417091405556,4.206388368808784,0.5854976547058608,25.112964243990547,-0.26642170712044955
2016ROLZ01,Alwin Rölz,312,78,4.065897435897436,3.2308974358974356,1.1447025768049923,0.6757548658312708,0.5903322657990225,0.40966773420097746,1.7027075900058806,0.970358896381151,2.558473282103842,1.0493834231926362
2014PETE03,Tobias Peter,339,84,6.047380952380952,5.891547619047619,1.257021838044019,0.9168483129887993,0.7293813720972863,0.27061862790271374,4.5199610637534,0.5776665500807322,31.263369230229323,1.0273098501872253
