person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2022MULL02,Imanuel Müller,78,148,2022,2026,3.6929729729729726,5.276216216216216,4
2011NARA02,Bhargav Narasimhan,75,147,2011,2026,6.287074829931973,8.466802721088435,15
2017MINA04,Hannah Minas,84,147,2017,2026,4.7122448979591836,6.321632653061224,9
2017SIAU02,Max Siauw,77,147,2017,2025,3.2012244897959183,4.448367346938776,8
2010MOFF02,Zoé de Moffarts,79,146,2010,2020,6.115479452054795,8.096301369863014,10
2013SCHM02,Thomas Mæhle Schmidt,70,146,2014,2024,3.3582191780821917,4.502260273972603,10
2016WOJC04,Dawid Wójcik,61,146,2016,2026,2.510821917808219,3.404109589041096,10
2017JARN01,Thomas Sonnenberg Jarner,81,146,2017,2026,4.602123287671232,6.385273972602739,9
2011CAST02,Michael Andres Castillo Lemus,72,145,2011,2025,5.164413793103448,6.917103448275862,14
2016TRAG01,Parker Trager,72,145,2016,2026,2.04,2.9222758620689655,10
2016DEXT01,Riley Dexter,62,145,2016,2026,2.9155172413793102,3.8604827586206896,10
2016PUTT01,Arttu Puttonen,79,145,2016,2025,5.9462758620689655,8.339103448275862,9
2016YONG02,Tristan Chua Yong,66,145,2017,2026,2.4633793103448274,3.499724137931034,9
2016MILL07,Pedro Giuseppe Garcia Milla,71,145,2018,2026,3.0070344827586206,4.137379310344827,8
2022SCHA05,Vincent von Schantz,60,145,2022,2026,3.0024137931034485,4.091172413793104,4
2014YUNO01,Lucas Ichiro Yunomae,92,144,2014,2026,5.6229861111111115,7.755416666666666,12
2011KNOT01,Wojciech Knott,68,144,2011,2020,4.593402777777778,5.833402777777778,9
2011HOFF02,Valentin Hoffmann,89,143,2011,2026,5.376433566433566,7.177972027972029,15
2010KIPA01,Jakub Kipa,66,143,2010,2024,4.116013986013987,5.521538461538462,14
2010CANT02,Antoine Cantin,71,143,2011,2024,3.8352447552447555,5.353496503496503,13
2016MATE04,Arnau Tous Mateu,61,143,2016,2026,2.5282517482517486,3.5786013986013985,10
2018SCHM05,Sophia Schmoll,70,143,2018,2026,3.48986013986014,4.788251748251748,8
2014SCHW02,Fabio Schwandt,69,142,2014,2026,3.596830985915493,4.809929577464788,12
2014GROV01,Saransh Grover,67,142,2014,2024,3.5133802816901407,4.702253521126761,10
2016NILS03,Filip Nilsen,64,142,2016,2026,4.667464788732394,6.42281690140845,10
2018KJOL01,Malte Oliver Bøgh Kjøller,82,142,2018,2026,5.042957746478874,6.611478873239437,8
2019KEDZ01,Adam Kędziorski,63,142,2019,2026,2.0879577464788732,2.905,7
2021EDEN01,Pep Edén,77,142,2021,2026,4.433591549295775,6.250281690140845,5
2021CHEL01,Ianis Costin Chele,75,142,2021,2026,2.17669014084507,3.043098591549296,5
2009ORTI01,Daniel Gracia Ortiz,72,141,2009,2025,4.429858156028369,6.058085106382979,16
2010VALO01,Clément Valot,74,141,2011,2025,4.648652482269504,6.106595744680851,14
