person_id,person_name,model,a,b,c
2003BRUC01,Ron van Bruchem,exponential,5.155531770695018,0.040355391240622804,15.225802534434196
2003BRUC01,Ron van Bruchem,power_law,9.157115733621078,0.46935741743682863,14.582948607679134
2008AURO01,Sébastien Auroux,exponential,12.535750102963036,0.032913063696098484,14.36974936658793
2008AURO01,Sébastien Auroux,power_law,23.034201827209888,0.35964131380831377,11.387668115785356
2008BARA01,Bence Barát,exponential,6.981637840785594,0.016023536229212727,10.291571694359371
2008BARA01,Bence Barát,power_law,19.570291189318166,0.12852925169821128,1.1547894783685264
2009LIUE01,Evan Liu,exponential,15.857039923635446,0.03623751216974323,9.7124061559313
2009LIUE01,Evan Liu,power_law,33.34682610269619,0.4819186372028524,7.652828634047427
2009PROV01,Matteo Provasi,exponential,15.349846046465299,0.036593812370754986,12.092870000881964
2009PROV01,Matteo Provasi,power_law,30.25986505824258,0.42556376926579526,9.540981358342066
2010HULL01,Katie Hull,exponential,15.408562502420693,0.17319376029755199,9.33344270764573
2010HULL01,Katie Hull,power_law,15.117742265355302,0.5243679878670807,8.450131646390865
2010RONK01,Niko Ronkainen,exponential,15.141077070898834,0.035495211645441775,11.136436651501134
2010RONK01,Niko Ronkainen,power_law,30.127618202187975,0.4690476841614647,9.062358052213366
2010ROSE03,Dennis Rosero,exponential,7.483845959321469,0.027153773204360142,14.780441624476875
2010ROSE03,Dennis Rosero,power_law,14.23979766195366,0.31265339950242554,12.549904493829052
2010THOM03,Blake Thompson,exponential,10.561251247885982,0.04160263641509967,9.11731574553644
2010THOM03,Blake Thompson,power_law,19.16897501017923,0.46527624362921854,7.729883184597906
2010WEYE02,Sebastian Weyer,exponential,8.304657143763555,0.024666399753097295,7.191805857943297
2010WEYE02,Sebastian Weyer,power_law,17.638976291774636,0.33675946348349056,4.668269004975055
2011EDUA01,Eduard Esteban García Domínguez,exponential,705.9744809312818,1.7760269833445772,13.333813791549758
2011EDUA01,Eduard Esteban García Domínguez,power_law,117.61076484293099,1.9574893697762699,13.270686035148273
2012CANT02,Simone Cantarelli,exponential,11.164711875781132,0.03208823775014817,10.656872326120558
2012CANT02,Simone Cantarelli,power_law,21.495308421545463,0.3769666567883211,8.16074318190833
2012MAHV01,Paul Mahvi,exponential,21.406825639840147,0.07229460311711443,8.453436537297744
2012MAHV01,Paul Mahvi,power_law,32.66568540525357,0.5720917899709927,7.1459508687523074
2012PARK03,Max Park,exponential,10.584608275856866,0.027975310708098153,5.966211179516732
2012PARK03,Max Park,power_law,20.134038066741,0.31435856062188183,2.7026017417941595
2013BURL01,Łukasz Burliga,exponential,32.7394986973095,0.14729016365923508,8.377554805537946
2013BURL01,Łukasz Burliga,power_law,37.83901068768216,0.637066382911909,7.063385676364667
2013JOHN10,Brian Johnson,exponential,10.420653998057348,0.02926333632825556,6.951001181328278
2013JOHN10,Brian Johnson,power_law,20.70209980221034,0.3698483851977248,4.437856735385524
2013ROGA02,Przemysław Rogalski,exponential,6.531635864894702,0.011755966450614887,11.52314586265392
2013ROGA02,Przemysław Rogalski,power_law,21.269015544965313,0.11897235827970155,1.196983411702721
2013WALL03,Daniel Wallin,exponential,7.169857319224394,0.019430392784840676,8.330255279876608
2013WALL03,Daniel Wallin,power_law,15.260802595497552,0.2594375306841896,5.109186549824688
2014PETE03,Tobias Peter,exponential,8.294446840285115,0.02475443059063831,10.409156978685393
2014PETE03,Tobias Peter,power_law,23.5322368448707,0.5639927267715127,9.550344144572419
2014SEBA01,Juliette Sébastien,exponential,6.328821067548496,0.01125653187159075,6.986377604928596
2014SEBA01,Juliette Sébastien,power_law,19.964547808962667,0.39574498290143323,5.324005772194391
2014ZAKR01,Karol Zakrzewski,exponential,5.103494757399128,0.02116423096674283,8.943079127349842
2014ZAKR01,Karol Zakrzewski,power_law,11.843872589167376,0.3806607093129404,7.703615776167139
2015KUCA01,Carter Kucala,exponential,8.243104872693726,0.01772968188436038,7.856194891325528
2015KUCA01,Carter Kucala,power_law,18.797044092534765,0.22034094168930513,2.7621193150303585
2016KELL12,Simon Kellum,exponential,10.798718078369557,0.027387288160013266,8.878879434362782
2016KELL12,Simon Kellum,power_law,24.86214554983603,0.45641324900567964,7.079730859762879
2016KOLA02,Tymon Kolasiński,exponential,14.158491159127054,0.016153610887259973,5.528343219820933
2016KOLA02,Tymon Kolasiński,power_law,32.575231345412824,0.2946640667181094,1.3921930427017197e-17
2017GARR05,Luke Garrett,exponential,5.4751693967626975,0.010581531353338041,6.115935625941785
2017GARR05,Luke Garrett,power_law,15.687347346216475,0.1501777067036874,1.2779418198616301e-09
