person_id,person_name,model,analysis_model,n_obs,hurst,intercept,dfa_r2,noise_type
2012PARK03,Max Park,power_law,power_law,617,0.9045031235284173,-3.092542323853064,0.9782948406812134,persistent
2014SEBA01,Juliette Sébastien,power_law,power_law,590,0.8587534781690657,-2.592999048316004,0.9941809794623073,persistent
2014PETE03,Tobias Peter,power_law,power_law,556,0.7860567967662,-2.1572370711613518,0.9841999724778143,persistent
2008AURO01,Sébastien Auroux,power_law,power_law,563,0.7661272754964981,-1.907889037622514,0.9530178062054032,persistent
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,860,0.7481375065939225,-1.812402259998425,0.9532423606372531,persistent
2016KOLA02,Tymon Kolasiński,exponential,exponential,555,0.7385263157143741,-2.3957788371955666,0.9550332955173134,persistent
2016KELL12,Simon Kellum,power_law,power_law,555,0.6784665870424685,-2.0072958192122186,0.9806469858974189,persistent
2014ZAKR01,Karol Zakrzewski,power_law,power_law,648,0.6778072276078192,-2.2156733945820806,0.9888741076523061,persistent
2013JOHN10,Brian Johnson,power_law,power_law,545,0.6573476984921058,-2.2015603993862225,0.9909996436484009,persistent
2010ROSE03,Dennis Rosero,power_law,power_law,759,0.6557149944064473,-1.7805466998613064,0.9913066429172038,persistent
2010RONK01,Niko Ronkainen,power_law,power_law,584,0.6533480162442098,-1.7782952366137172,0.8996277742279799,persistent
2012CANT02,Simone Cantarelli,power_law,power_law,590,0.6521156688656564,-2.0332280502572075,0.9836965866768269,persistent
2013WALL03,Daniel Wallin,power_law,power_law,711,0.6520722034332397,-2.098261482880248,0.9784574522564492,persistent
2015KUCA01,Carter Kucala,exponential,exponential,608,0.6507578297763568,-2.0719718508491023,0.9842056847186246,persistent
2013ROGA02,Przemysław Rogalski,power_law,power_law,626,0.6505271109914957,-1.9934150647724342,0.9873648881789483,persistent
2012MAHV01,Paul Mahvi,power_law,power_law,701,0.6501361573145915,-2.091802355962036,0.9852448371756836,persistent
2008BARA01,Bence Barát,exponential,exponential,598,0.6447124261696054,-2.1941816631260873,0.9885518454894698,persistent
2010WEYE02,Sebastian Weyer,power_law,power_law,574,0.6400587395640519,-2.2834287975960397,0.9880227295094111,persistent
2009PROV01,Matteo Provasi,power_law,power_law,750,0.6388668021408453,-1.9046359635414707,0.9884724126531046,persistent
2010THOM03,Blake Thompson,power_law,power_law,576,0.6338178213237673,-1.9269509844902908,0.9798290966626022,persistent
2013BURL01,Łukasz Burliga,power_law,power_law,577,0.6187718325733331,-2.1082926007427645,0.9923143274834361,persistent
2010HULL01,Katie Hull,power_law,power_law,684,0.5969979263493834,-2.003560904135663,0.9934398105725135,persistent
2017GARR05,Luke Garrett,power_law,power_law,791,0.5935432034844275,-2.2837607618922213,0.9698024586094643,persistent
2009LIUE01,Evan Liu,power_law,power_law,700,0.565629676539218,-1.6364983764538992,0.9843895355203549,persistent
2003BRUC01,Ron van Bruchem,exponential,exponential,551,0.5587089307229697,-1.2810416305087915,0.9798096103146395,persistent
