person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2009PROV01,Matteo Provasi,262,601,2009,2026,3.0523460898502495,3.937271214642263,17
2010RONK01,Niko Ronkainen,219,535,2010,2026,2.354691588785047,3.5348411214953273,16
2013ROGA02,Przemysław Rogalski,274,527,2013,2026,2.7638709677419353,3.899506641366224,13
2013WALL03,Daniel Wallin,237,521,2013,2026,2.10915547024952,3.238042226487524,13
2008BARA01,Bence Barát,201,499,2008,2026,2.3775751503006015,3.1790981963927853,18
2010ROSE03,Dennis Rosero,276,499,2010,2026,3.872004008016032,5.253747494989979,16
2011EDUA01,Eduard Esteban García Domínguez,281,472,2012,2026,4.10364406779661,5.583728813559322,14
2013BURL01,Łukasz Burliga,184,453,2013,2026,1.8219205298013246,2.7012141280353203,13
2013TOKA01,Piotr Tokarski,193,444,2013,2026,1.9463288288288287,2.738423423423423,13
2017GARR05,Luke Garrett,189,444,2017,2026,1.4075675675675676,2.0724324324324326,9
2008AURO01,Sébastien Auroux,202,436,2008,2026,3.2948394495412843,4.7776146788990825,18
2014ZAKR01,Karol Zakrzewski,211,416,2014,2026,2.3360817307692305,3.4301442307692307,12
2011SZAT01,Wojciech Szatanowski,185,403,2011,2026,2.9982382133995036,4.0420347394540945,15
2010BENT01,Jan Bentlage,180,402,2010,2026,2.9255721393034824,4.222761194029851,16
2014SEBA01,Juliette Sébastien,165,402,2014,2026,1.898731343283582,2.6401741293532335,12
2014PETE03,Tobias Peter,194,395,2014,2026,2.7455696202531645,3.912430379746836,12
2010GRAC02,Fabio Bini Graciose,249,388,2010,2026,5.9392783505154645,8.110798969072166,16
2012CANT02,Simone Cantarelli,188,384,2012,2026,3.703046875,4.973463541666667,14
2009LIUE01,Evan Liu,201,376,2009,2026,2.7419680851063832,3.9172074468085105,17
2008VIRO01,Philippe Virouleau,171,370,2008,2026,2.7363243243243245,3.7239729729729727,18
2011WELC01,Walker Welch,154,365,2011,2026,2.270931506849315,3.403150684931507,15
2017TSVE02,Alexey Tsvetkov,143,365,2017,2026,1.466054794520548,1.9793150684931509,9
2008VARG01,Dániel Varga,184,351,2008,2026,3.4292877492877496,4.706068376068376,18
2015KUCA01,Carter Kucala,146,349,2015,2026,1.57810888252149,2.462779369627507,11
2015SANC18,Josete Sánchez,142,348,2015,2026,2.4504310344827585,3.4123563218390807,11
