person_id,person_name,winner,winner_bic,power_rss,power_r2,power_aic,power_bic,exp_rss,exp_r2,exp_aic,exp_bic,delta_aic,delta_aic_abs,delta_bic
2012ZHAN08,Anyu Zhang (张安宇),power_law,power_law,1539.386101446654,0.9484640419925401,498.4980710243432,509.63926944087126,4329.514117636264,0.8550554292067968,811.821772240657,822.9629706571851,313.3237012163138,313.3237012163138,313.32370121631385
2011HOFF02,Valentin Hoffmann,power_law,power_law,2662.7754897382833,0.9497309128475475,575.0419393537786,585.4079026998518,2789.391562345856,0.9473405970235736,585.9122918931431,596.2782552392163,10.87035253936449,10.87035253936449,10.87035253936449
2010WUIF01,Yi-Fan Wu (吳亦凡),power_law,power_law,2537.043950110032,0.9677343066538207,585.3234913102293,595.8878740638161,10976.198070172597,0.8604065802550426,951.5058694231184,962.0702521767051,366.18237811288907,366.18237811288907,366.18237811288907
2012CANT02,Simone Cantarelli,power_law,power_law,3077.82529676531,0.9056759032056718,588.0733034211751,598.2677915257283,5083.007780782353,0.8442243884262295,698.944560014968,709.1390481195212,110.87125659379296,110.87125659379296,110.87125659379296
2012MAHV01,Paul Mahvi,power_law,power_law,2415.5794921611373,0.9328983850335193,601.2007964074702,612.0292117930251,2574.8537625662543,0.9284739556982506,618.632809442414,629.4612248279689,17.432013034943793,17.432013034943793,17.432013034943793
2006HALC01,Michał Halczuk,power_law,power_law,2888.7356123723,0.8973577033980544,622.1017271459674,632.70189561215,4620.829965503297,0.8358130810466082,740.9498517329426,751.5500201991252,118.84812458697525,118.84812458697525,118.84812458697525
2012HALE01,Callum Hales-Jepp,exponential,exponential,4182.332392702769,0.9025661118132997,688.1921770096272,698.6089890306416,3811.07551839475,0.9112151137058764,666.0682582116312,676.4850702326456,-22.123918797995998,22.123918797995998,-22.123918797995998
2013WALL03,Daniel Wallin,power_law,power_law,3433.072609517888,0.8858367602242989,700.220957656645,711.0712709496447,3851.2858384991414,0.8719295166066751,731.832595917209,742.6829092102087,31.61163826056395,31.61163826056395,31.61163826056395
2014ZAKR01,Karol Zakrzewski,exponential,exponential,3627.044025949799,0.8257020611835073,700.9720737061436,711.7225626324887,2057.114658167862,0.9011451633168527,550.1198430662837,560.8703319926287,-150.85223063985995,150.85223063985995,-150.85223063985995
2009LIUE01,Evan Liu,power_law,power_law,3212.5947943937517,0.9467754982349006,710.4183697211843,721.4792957902038,8253.115493809473,0.8632669264936894,988.7543527581594,999.8152788271789,278.3359830369751,278.3359830369751,278.3359830369751
2008VARG01,Dániel Varga,power_law,power_law,4431.374224882185,0.8347113848763585,728.4930559223951,739.0813431849294,6313.57136472027,0.7645061296111508,817.6989785893783,828.2872658519126,89.20592266698316,89.20592266698316,89.20592266698316
2005AKKE01,Erik Akkersdijk,power_law,power_law,5104.88119376068,0.8482097092141506,749.990090578305,760.4938652099391,10096.290590517696,0.6997934278145002,917.0729633570878,927.576737988722,167.08287277878287,167.08287277878287,167.08287277878287
2008BARA01,Bence Barát,power_law,power_law,3752.86332838919,0.9001875947331882,834.9456584143296,846.5108741809369,6983.20902547371,0.814272242732428,1051.670977871932,1063.2361936385394,216.7253194576025,216.7253194576025,216.7253194576025
