person_id,person_name,delta_aic,delta_bic,winner,winner_bic,delta_aic_abs
2010WUIF01,Yi-Fan Wu (吳亦凡),366.18237811288907,366.18237811288907,power_law,power_law,366.18237811288907
2012ZHAN08,Anyu Zhang (张安宇),313.3237012163138,313.32370121631385,power_law,power_law,313.3237012163138
2012BEAH01,Ciarán Beahan,-288.00402827504763,-288.00402827504763,exponential,exponential,288.00402827504763
2009LIUE01,Evan Liu,278.3359830369751,278.3359830369751,power_law,power_law,278.3359830369751
2008BARA01,Bence Barát,216.7253194576025,216.7253194576025,power_law,power_law,216.7253194576025
2010RONK01,Niko Ronkainen,177.6522756670256,177.6522756670256,power_law,power_law,177.6522756670256
2005AKKE01,Erik Akkersdijk,167.08287277878287,167.08287277878287,power_law,power_law,167.08287277878287
2010WEYE01,Philipp Weyer,-158.21736651705714,-158.21736651705714,exponential,exponential,158.21736651705714
2014ZAKR01,Karol Zakrzewski,-150.85223063985995,-150.85223063985995,exponential,exponential,150.85223063985995
2016ROLZ01,Alwin Rölz,136.3793042964711,136.3793042964711,power_law,power_law,136.3793042964711
2009PROV01,Matteo Provasi,-135.6445320352833,-135.6445320352833,exponential,exponential,135.6445320352833
2010WEYE02,Sebastian Weyer,-126.00961831864379,-126.00961831864379,exponential,exponential,126.00961831864379
2006HALC01,Michał Halczuk,118.84812458697525,118.84812458697525,power_law,power_law,118.84812458697525
2012CANT02,Simone Cantarelli,110.87125659379296,110.87125659379296,power_law,power_law,110.87125659379296
2010SCHM01,Leon Schmidtchen,-108.95030013783548,-108.95030013783548,exponential,exponential,108.95030013783548
2008VARG01,Dániel Varga,89.20592266698316,89.20592266698316,power_law,power_law,89.20592266698316
2014PETE03,Tobias Peter,-63.285532189392825,-63.285532189392825,exponential,exponential,63.285532189392825
2012ICKL01,Finn Ickler,51.58452860960108,51.58452860960108,power_law,power_law,51.58452860960108
2010BENT01,Jan Bentlage,44.006489907396826,44.006489907396826,power_law,power_law,44.006489907396826
2013WALL03,Daniel Wallin,31.61163826056395,31.61163826056395,power_law,power_law,31.61163826056395
2008AURO01,Sébastien Auroux,27.999338390911817,27.999338390911817,power_law,power_law,27.999338390911817
2003BRUC01,Ron van Bruchem,27.369012971054644,27.369012971054644,power_law,power_law,27.369012971054644
2012HALE01,Callum Hales-Jepp,-22.123918797995998,-22.123918797995998,exponential,exponential,22.123918797995998
2012MAHV01,Paul Mahvi,17.432013034943793,17.432013034943793,power_law,power_law,17.432013034943793
2011HOFF02,Valentin Hoffmann,10.87035253936449,10.87035253936449,power_law,power_law,10.87035253936449
