person_id,person_name,model,analysis_model,n_obs,hurst,intercept,dfa_r2,noise_type
2017TSVE02,Alexey Tsvetkov,exponential,exponential,364,0.7238705637519682,-2.851538517948188,0.9693115886774237,persistent
2008VIRO01,Philippe Virouleau,power_law,power_law,369,0.7047256484929144,-2.423520420312337,0.9519470531181761,persistent
2015SANC18,Josete Sánchez,exponential,exponential,347,0.697449913395591,-2.3387050212048264,0.9533574320649039,persistent
2008AURO01,Sébastien Auroux,power_law,power_law,435,0.6905055443439297,-1.6947462876830757,0.9568137574983887,persistent
2014PETE03,Tobias Peter,power_law,power_law,395,0.6673289891531703,-2.2204483219127993,0.9835859225246109,persistent
2017GARR05,Luke Garrett,exponential,exponential,441,0.6620815994870758,-2.602814766239934,0.967493255797915,persistent
2011SZAT01,Wojciech Szatanowski,exponential,exponential,402,0.652912441589526,-2.412882470708398,0.9745853241748168,persistent
2014ZAKR01,Karol Zakrzewski,power_law,power_law,409,0.6362278543758474,-2.0688200199039724,0.9763747555458676,persistent
2010ROSE03,Dennis Rosero,power_law,power_law,498,0.6273740510137309,-1.8749582571999335,0.9886746027832286,persistent
2013WALL03,Daniel Wallin,power_law,power_law,518,0.6227581879037465,-2.0486582913418743,0.973746963915327,persistent
2009LIUE01,Evan Liu,power_law,power_law,376,0.6212730082291618,-1.782449797857547,0.992143373614606,persistent
2013BURL01,Łukasz Burliga,power_law,power_law,449,0.6189656935393181,-2.2181947680541536,0.9899853361115085,persistent
2011WELC01,Walker Welch,power_law,power_law,363,0.6051119055916697,-1.9623698051423304,0.9543750175572762,persistent
2010GRAC02,Fabio Bini Graciose,power_law,power_law,388,0.6033224350504838,-1.279190869431639,0.9858267531345458,persistent
2015KUCA01,Carter Kucala,exponential,exponential,346,0.6010006326469152,-2.0529919893672472,0.9924694806206185,persistent
2010RONK01,Niko Ronkainen,power_law,power_law,533,0.571063008300441,-1.7794808701035696,0.9876450458256594,persistent
2014SEBA01,Juliette Sébastien,exponential,exponential,400,0.5657791130207911,-2.352984073345199,0.987511412335662,persistent
2013TOKA01,Piotr Tokarski,exponential,exponential,443,0.5636907060895404,-2.1958387976614673,0.9756040760322583,persistent
2008BARA01,Bence Barát,exponential,exponential,498,0.5627422758170668,-2.2700410618671127,0.9719453909629204,persistent
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,472,0.5595297552562661,-1.7615814650201516,0.9805888524537025,persistent
2009PROV01,Matteo Provasi,power_law,power_law,601,0.5406667578421849,-2.40781386641317,0.9824681884767512,uncorrelated
2010BENT01,Jan Bentlage,power_law,power_law,401,0.5257206521970327,-1.6152052843132572,0.9782971907427653,uncorrelated
2008VARG01,Dániel Varga,exponential,exponential,349,0.5066678290500997,-1.755850659542996,0.9834935475646494,uncorrelated
2013ROGA02,Przemysław Rogalski,power_law,power_law,525,0.49342956367577856,-1.541765945888739,0.9656294342412589,uncorrelated
2012CANT02,Simone Cantarelli,power_law,power_law,384,0.49218653815588825,-1.8660152502606282,0.980855628516139,uncorrelated
